Name,Day Meals,Dietary Preference,Code,Meal Times
NV ALL MEALS,"Sunday Breakfast Veg Meal,Sunday Lunch Non Veg Super Meal,Sunday Dinner Veg Meal,Monday Breakfast Veg Meal,Monday Lunch Veg Meal,Tuesday Breakfast Veg Meal,Tuesday Lunch Non Veg Super Meal,Tuesday Dinner Veg Meal,Wednesday Breakfast Veg Meal,Wednesday Lunch Non Veg Super Meal,Wednesday Dinner Veg Meal,Thursday Breakfast Veg Meal,Thursday Lunch Veg Meal,Thursday Dinner Veg Super Meal,Friday Breakfast Veg Meal,Friday Lunch Non Veg Super Meal,Friday Dinner Veg Meal,Saturday Breakfast Veg Meal,Saturday Lunch Veg Meal,Saturday Dinner Veg Super Meal,Monday Dinner Veg Super Meal",Non Veg,1111,"Breakfast,Lunch,Dinner"
NV Breakfast,"Sunday Breakfast Veg Meal,Monday Breakfast Veg Meal,Tuesday Breakfast Veg Meal,Wednesday Breakfast Veg Meal,Thursday Breakfast Veg Meal,Friday Breakfast Veg Meal,Saturday Breakfast Veg Meal",Veg,1100,Breakfast
NV Breakfast Dinner,"Sunday Breakfast Veg Meal,Sunday Dinner Non Veg Super Meal,Monday Breakfast Veg Meal,Monday Dinner Veg Super Meal,Tuesday Breakfast Veg Meal,Tuesday Dinner Non Veg Super Meal,Wednesday Breakfast Veg Meal,Wednesday Dinner Non Veg Super Meal,Thursday Breakfast Veg Meal,Thursday Dinner Veg Super Meal,Friday Breakfast Veg Meal,Friday Dinner Non Veg Super Meal,Saturday Breakfast Veg Meal,Saturday Dinner Veg Super Meal",Non Veg,1101,"Breakfast,Dinner"
NV Breakfast Lunch,"Sunday Breakfast Veg Meal,Sunday Lunch Non Veg Super Meal,Monday Breakfast Veg Meal,Monday Lunch Veg Meal,Tuesday Breakfast Veg Meal,Tuesday Lunch Non Veg Super Meal,Wednesday Breakfast Veg Meal,Wednesday Lunch Non Veg Super Meal,Thursday Breakfast Veg Meal,Thursday Lunch Veg Meal,Friday Breakfast Veg Meal,Friday Lunch Non Veg Super Meal,Saturday Breakfast Veg Meal,Saturday Lunch Veg Meal",Non Veg,1110,"Breakfast,Lunch"
NV DINNER,"Sunday Dinner Non Veg Super Meal,Monday Dinner Veg Super Meal,Tuesday Dinner Non Veg Super Meal,Wednesday Dinner Non Veg Super Meal,Thursday Dinner Veg Super Meal,Friday Dinner Non Veg Super Meal,Saturday Dinner Veg Super Meal",Non Veg,1001,Dinner
NV LUNCH,"Sunday Lunch Non Veg Super Meal,Monday Lunch Veg Meal,Tuesday Lunch Non Veg Super Meal,Wednesday Lunch Non Veg Super Meal,Thursday Lunch Veg Meal,Friday Lunch Non Veg Super Meal,Saturday Lunch Veg Meal",Non Veg,1010,Lunch
NV LUNCH DINNER,"Sunday Lunch Non Veg Super Meal,Sunday Dinner Veg Meal,Monday Lunch Veg Meal,Monday Dinner Veg Super Meal,Tuesday Lunch Non Veg Super Meal,Tuesday Dinner Veg Meal,Wednesday Lunch Non Veg Super Meal,Wednesday Dinner Veg Meal,Thursday Lunch Veg Meal,Thursday Dinner Veg Super Meal,Friday Lunch Non Veg Super Meal,Friday Dinner Veg Meal,Saturday Lunch Veg Meal,Saturday Dinner Veg Super Meal",Non Veg,1011,"Lunch,Dinner"
VEG ALL MEALS,"Sunday Breakfast Veg Meal,Monday Breakfast Veg Meal,Tuesday Breakfast Veg Meal,Wednesday Breakfast Veg Meal,Thursday Breakfast Veg Meal,Friday Breakfast Veg Meal,Saturday Breakfast Veg Meal,Sunday Lunch Veg Super Meal,Monday Lunch Veg Meal,Tuesday Lunch Veg Super Meal,Wednesday Lunch Veg Super Meal,Thursday Lunch Veg Meal,Friday Lunch Veg Super Meal,Saturday Lunch Veg Meal,Sunday Dinner Veg Meal,Monday Dinner Veg Super Meal,Tuesday Dinner Veg Meal,Wednesday Dinner Veg Meal,Thursday Dinner Veg Super Meal,Friday Dinner Veg Meal,Saturday Dinner Veg Super Meal",Veg,0111,"Breakfast,Lunch,Dinner"
Veg Breakfast,"Sunday Breakfast Veg Meal,Monday Breakfast Veg Meal,Tuesday Breakfast Veg Meal,Wednesday Breakfast Veg Meal,Thursday Breakfast Veg Meal,Friday Breakfast Veg Meal,Saturday Breakfast Veg Meal",Veg,0100,Breakfast
VEG Breakfast Dinner,"Sunday Breakfast Veg Meal,Sunday Dinner Veg Meal,Monday Breakfast Veg Meal,Monday Dinner Veg Super Meal,Tuesday Breakfast Veg Meal,Tuesday Dinner Veg Meal,Wednesday Breakfast Veg Meal,Wednesday Dinner Veg Meal,Thursday Breakfast Veg Meal,Thursday Dinner Veg Super Meal,Friday Breakfast Veg Meal,Friday Dinner Veg Meal,Saturday Breakfast Veg Meal,Saturday Dinner Veg Super Meal",Non Veg,0101,"Breakfast,Dinner"
